records	Author	journal	year	type	NCR
465	Swanson, Michele S	AUTOPHAGY	2012	Review	884
465	Swanton, Charles	AUTOPHAGY	2012	Review	884
465	Sweeney, Sean T	AUTOPHAGY	2012	Review	884
465	Sy, Lai-King	AUTOPHAGY	2012	Review	884
465	Szabadkai, Gyorgy	AUTOPHAGY	2012	Review	884
465	Tabas, Ira	AUTOPHAGY	2012	Review	884
465	Taegtmeyer, Heinrich	AUTOPHAGY	2012	Review	884
465	Tafani, Marco	AUTOPHAGY	2012	Review	884
465	Takacs-Vellai, Krisztina	AUTOPHAGY	2012	Review	884
465	Takano, Yoshitaka	AUTOPHAGY	2012	Review	884
465	Takegawa, Kaoru	AUTOPHAGY	2012	Review	884
465	Takemura, Genzou	AUTOPHAGY	2012	Review	884
465	Takeshita, Fumihiko	AUTOPHAGY	2012	Review	884
465	Talbot, Nicholas J	AUTOPHAGY	2012	Review	884
465	Tan, Kevin S. W	AUTOPHAGY	2012	Review	884
465	Tanaka, Keiji	AUTOPHAGY	2012	Review	884
465	Tanaka, Kozo	AUTOPHAGY	2012	Review	884
465	Tang, Daolin	AUTOPHAGY	2012	Review	884
465	Tang, Dingzhong	AUTOPHAGY	2012	Review	884
465	Tanida, Isei	AUTOPHAGY	2012	Review	884
465	Tannous, Bakhos A	AUTOPHAGY	2012	Review	884
465	Tavernarakis, Nektarios	AUTOPHAGY	2012	Review	884
465	Taylor, Graham S	AUTOPHAGY	2012	Review	884
465	Taylor, Gregory A	AUTOPHAGY	2012	Review	884
465	Taylor, J. Paul	AUTOPHAGY	2012	Review	884
465	Terada, Lance S	AUTOPHAGY	2012	Review	884
465	Terman, Alexei	AUTOPHAGY	2012	Review	884
465	Tettamanti, Gianluca	AUTOPHAGY	2012	Review	884
465	Thevissen, Karin	AUTOPHAGY	2012	Review	884
465	Thompson, Craig B	AUTOPHAGY	2012	Review	884
465	Thorburn, Andrew	AUTOPHAGY	2012	Review	884
465	Thumm, Michael	AUTOPHAGY	2012	Review	884
465	Tian, FengFeng	AUTOPHAGY	2012	Review	884
465	Tian, Yuan	AUTOPHAGY	2012	Review	884
465	Tocchini-Valentini, Glauco	AUTOPHAGY	2012	Review	884
465	Tolkovsky, Aviva M	AUTOPHAGY	2012	Review	884
465	Tomino, Yasuhiko	AUTOPHAGY	2012	Review	884
465	Toenges, Lars	AUTOPHAGY	2012	Review	884
465	Tooze, Sharon A	AUTOPHAGY	2012	Review	884
465	Tournier, Cathy	AUTOPHAGY	2012	Review	884
465	Tower, John	AUTOPHAGY	2012	Review	884
465	Towns, Roberto	AUTOPHAGY	2012	Review	884
465	Trajkovic, Vladimir	AUTOPHAGY	2012	Review	884
465	Travassos, Leonardo H	AUTOPHAGY	2012	Review	884
465	Tsai, Ting-Fen	AUTOPHAGY	2012	Review	884
465	Tschan, Mario P	AUTOPHAGY	2012	Review	884
465	Tsubata, Takeshi	AUTOPHAGY	2012	Review	884
465	Tsung, Allan	AUTOPHAGY	2012	Review	884
465	Turk, Boris	AUTOPHAGY	2012	Review	884
465	Turner, Lorianne S	AUTOPHAGY	2012	Review	884
465	Tyagi, Suresh C	AUTOPHAGY	2012	Review	884
465	Uchiyama, Yasuo	AUTOPHAGY	2012	Review	884
465	Ueno, Takashi	AUTOPHAGY	2012	Review	884
465	Umekawa, Midori	AUTOPHAGY	2012	Review	884
465	Umemiya-Shirafuji, Rika	AUTOPHAGY	2012	Review	884
465	Unni, Vivek K	AUTOPHAGY	2012	Review	884
465	Vaccaro, Maira I	AUTOPHAGY	2012	Review	884
465	Valente, Enza Maria	AUTOPHAGY	2012	Review	884
465	Van den Berghe, Greet	AUTOPHAGY	2012	Review	884
465	van der Klei, Ida J	AUTOPHAGY	2012	Review	884
465	van Doorn, Wouter G	AUTOPHAGY	2012	Review	884
465	van Dyk, Linda F	AUTOPHAGY	2012	Review	884
465	van Egmond, Marjolein	AUTOPHAGY	2012	Review	884
465	van Grunsven, Leo A	AUTOPHAGY	2012	Review	884
465	Vandenabeele, Peter	AUTOPHAGY	2012	Review	884
465	Vandenberghe, Wim P	AUTOPHAGY	2012	Review	884
465	Vanhorebeek, Ilse	AUTOPHAGY	2012	Review	884
465	Vaquero, Eva C	AUTOPHAGY	2012	Review	884
465	Velasco, Guillermo	AUTOPHAGY	2012	Review	884
465	Vellai, Tibor	AUTOPHAGY	2012	Review	884
465	Vicencio, Jose Miguel	AUTOPHAGY	2012	Review	884
465	Vierstra, Richard D	AUTOPHAGY	2012	Review	884
465	Vila, Miquel	AUTOPHAGY	2012	Review	884
465	Vindis, Cecile	AUTOPHAGY	2012	Review	884
465	Viola, Giampietro	AUTOPHAGY	2012	Review	884
465	Viscomi, Maria Teresa	AUTOPHAGY	2012	Review	884
465	Voitsekhovskaja, Olga V	AUTOPHAGY	2012	Review	884
465	von Haefen, Clarissa	AUTOPHAGY	2012	Review	884
465	Votruba, Marcela	AUTOPHAGY	2012	Review	884
465	Wada, Keiji	AUTOPHAGY	2012	Review	884
465	Wade-Martins, Richard	AUTOPHAGY	2012	Review	884
465	Walker, Cheryl L	AUTOPHAGY	2012	Review	884
465	Walsh, Craig M	AUTOPHAGY	2012	Review	884
465	Walter, Jochen	AUTOPHAGY	2012	Review	884
465	Wan, Xiang-Bo	AUTOPHAGY	2012	Review	884
465	Wang, Aimin	AUTOPHAGY	2012	Review	884
465	Wang, Chenguang	AUTOPHAGY	2012	Review	884
465	Wang, Dawei	AUTOPHAGY	2012	Review	884
465	Wang, Fan	AUTOPHAGY	2012	Review	884
465	Wang, Fen	AUTOPHAGY	2012	Review	884
465	Wang, Guanghui	AUTOPHAGY	2012	Review	884
465	Wang, Haichao	AUTOPHAGY	2012	Review	884
465	Wang, Hong-Gang	AUTOPHAGY	2012	Review	884
465	Wang, Horng-Dar	AUTOPHAGY	2012	Review	884
465	Wang, Jin	AUTOPHAGY	2012	Review	884
465	Wang, Ke	AUTOPHAGY	2012	Review	884
465	Wang, Mei	AUTOPHAGY	2012	Review	884
465	Wang, Richard C	AUTOPHAGY	2012	Review	884
465	Wang, Xinglong	AUTOPHAGY	2012	Review	884
465	Wang, Xuejun	AUTOPHAGY	2012	Review	884
465	Wang, Ying-Jan	AUTOPHAGY	2012	Review	884
465	Wang, Yipeng	AUTOPHAGY	2012	Review	884
465	Wang, Zhen	AUTOPHAGY	2012	Review	884
465	Wang, Zhigang Charles	AUTOPHAGY	2012	Review	884
465	Wang, Zhinong	AUTOPHAGY	2012	Review	884
465	Wansink, Derick G	AUTOPHAGY	2012	Review	884
465	Ward, Diane M	AUTOPHAGY	2012	Review	884
465	Watada, Hirotaka	AUTOPHAGY	2012	Review	884
465	Waters, Sarah L	AUTOPHAGY	2012	Review	884
465	Webster, Paul	AUTOPHAGY	2012	Review	884
465	Wei, Lixin	AUTOPHAGY	2012	Review	884
465	Weihl, Conrad C	AUTOPHAGY	2012	Review	884
