Author,year,Number,meanIF,medianIF,sdIF
Li-Zhensheng,2016,1,3.981,3.981,NA
Ling-Hong-Qing,2010,3,4.169,3.982,1.21632931396066
Ling-Hong-Qing,2011,5,5.4596,6.169,2.08293430045213
Ling-Hong-Qing,2012,2,5.1305,5.1305,1.62563848994787
Ling-Hong-Qing,2013,6,4.51183333333333,3.8255,2.13828149846241
Ling-Hong-Qing,2014,3,5.245,5.468,2.08546133984785
Ling-Hong-Qing,2015,5,5.9764,5.468,2.34111860015677
Ling-Hong-Qing,2016,1,4.319,4.319,NA
Liu-Chunyan,2010,2,12.1175,12.1175,3.8105984438143
Liu-Chunyan,2011,2,7.5995,7.5995,1.32723942828715
Liu-Chunyan,2012,3,4.91766666666667,5.468,0.953205294432072
Liu-Chunyan,2013,1,6.661,6.661,NA
Liu-Chunyan,2014,2,7.8515,7.8515,2.22243661326932
Liu-Chunyan,2015,1,14.812,14.812,NA
Liu-Chunyan,2016,3,7.63033333333333,8,2.00324644847641
Liu-Chunyan,2017,1,8.668,8.668,NA
Liu-Dongcheng,2010,1,3.057,3.057,NA
Liu-Dongcheng,2011,6,3.06383333333333,3.3885,0.984500770272257
Liu-Dongcheng,2012,6,2.44283333333333,2.1865,0.718659701574164
Liu-Dongcheng,2013,4,12.614,4.6735,17.054609640798
Liu-Dongcheng,2014,1,3.9,3.9,NA
Liu-Dongcheng,2015,2,3.344,3.344,0.405879292401078
Liu-Dongcheng,2016,2,3.776,3.776,1.01681955134626
Liu-Dongcheng,2017,1,3.9,3.9,NA
Liu-Xin,2010,1,3.631,3.631,NA
Liu-Xin,2012,4,13.03075,5.7975,16.9632942432575
Liu-Xin,2013,5,9.5792,3.057,15.9780719957071
Liu-Xin,2014,5,2.4064,2.108,0.879247007387571
Liu-Xin,2015,3,4.49,3.981,2.67309614492259
Liu-Xin,2016,3,5.57866666666667,5.228,0.607372483187487
Ma-Biao,2010,2,4.3535,4.3535,1.57614101526481
Ma-Biao,2011,4,5.184,5.468,1.08679130164597
Ma-Biao,2012,2,4.2795,4.2795,2.67215652610396
Ma-Biao,2013,4,5.66525,5.9785,1.52561536764677
